"x1","x2","x3","A","y"
-1.21,0,15.38,0,-1.19
0.28,0,5.91,0,0.82
1.08,0,7.88,1,0.65
-2.35,0,8.33,1,-0.49
0.43,0,9.07,0,2.02
0.51,0,8.87,1,-0.65
-0.57,1,11.38,0,-1.24
-0.55,0,6.22,0,0.19
-0.56,1,8.42,0,-1.5
-0.89,0,8.33,1,-0.68
-0.48,0,8.88,0,-0.74
-1,1,8.19,0,0.77
-0.78,1,13.61,0,0.7
0.06,0,12.31,0,1.73
0.96,0,10.72,1,-0.85
-0.11,0,5.75,1,1.88
-0.51,0,18.8,1,-3.78
-0.91,1,12.81,0,-1.61
-0.84,0,13.7,1,-2.15
2.42,0,4.33,0,2.38
0.13,1,9.33,1,1.2
-0.49,1,12.3,0,0.44
-0.44,1,11.16,1,-1.64
0.46,0,11.83,1,-0.02
-0.69,0,11.77,0,-1.31
-1.45,1,8.69,0,0.37
0.57,0,9.25,0,0.91
-1.02,0,7.22,1,-0.81
-0.02,0,13.26,0,-0.78
-0.94,0,4.17,1,-1.08
1.1,0,9.16,0,2.01
-0.48,0,12.44,1,-1.32
-0.71,0,9.38,0,-0.93
-0.5,0,14.35,0,-0.04
-1.63,0,12.52,0,0.36
-1.17,0,7.4,1,-1.66
-2.18,0,9.82,0,-3.24
-1.34,0,10.03,0,-0.29
-0.29,0,10.81,1,-1.23
-0.47,0,8.42,0,-0.97
1.45,0,8.15,0,0.5
-1.07,0,9.21,0,-0.6
-0.86,0,12.74,0,-0.59
-0.28,1,13.37,1,-1.1
-0.99,0,8.19,1,-1.5
-0.97,1,10.17,0,0.16
-1.11,0,7,0,-1.67
-1.25,0,7.73,1,-2.19
-0.52,0,8.17,0,1.53
-0.5,0,6.05,0,0.82
-1.81,0,3.98,0,-1.73
-0.58,0,12.3,1,-2.99
-1.11,1,11.22,0,-3.43
-1.01,0,7.5,0,0.27
-0.16,1,12.87,1,-0.82
0.56,1,15.43,0,1.1
1.65,0,2.35,1,2.04
-0.77,0,13.45,1,-2.25
1.61,0,13.68,1,0.65
-1.16,0,10.46,1,-1.42
0.66,1,8.43,0,1.54
2.55,0,6.7,1,1.67
-0.03,0,7.36,0,0.84
-0.67,0,8.09,0,-0.06
-0.01,0,3.68,1,0.56
1.78,1,8.06,0,1.99
-1.14,0,12.96,1,-1.54
1.37,0,7.74,1,-0.56
1.33,0,14.7,1,-2.75
0.34,0,9.85,0,0.94
0.01,0,10.33,0,-0.22
-0.46,0,11.43,0,-2.02
-0.37,1,7.18,1,0.54
0.65,0,7.68,0,-0.06
2.07,0,8.73,0,2.42
-0.15,1,15.32,1,-1.11
-1.39,0,11.28,1,-1.41
-0.72,0,9.72,1,-3.24
0.26,1,6.65,1,-0.63
-0.32,0,9.74,1,-0.1
-0.18,0,11.18,1,-1.48
-0.17,0,8.92,1,1.16
-1.37,0,7.34,1,-1.58
-0.17,0,7.16,0,-2.1
0.85,0,9.34,1,0.57
0.7,0,11.03,1,-1.38
0.55,1,12.91,0,2.43
-0.4,0,5.99,0,1.64
-0.19,1,7.6,0,1.55
-1.19,0,3.86,0,-0.51
-0.05,1,10.33,1,-1.1
0.26,0,12.15,0,0.32
1.71,1,10.76,1,0.27
1,0,13.69,1,-1.6
-0.5,0,11.75,0,-1.58
0.36,0,8.24,0,0.56
-1.13,0,14.34,0,0.2
0.88,1,11.33,1,0.36
0.97,0,11.73,0,0.14
2.12,0,7.23,1,1.62
0.41,0,9.25,0,1.14
-0.47,1,6.33,1,0.34
0.07,0,9.78,0,0.96
-0.5,1,14.09,1,-3.02
-0.83,0,8.63,1,-1.3
0.17,0,10.2,1,-1.45
-0.9,0,12.35,0,-0.02
0.17,0,5.24,1,1.58
0.35,1,5.89,1,1.3
-0.05,0,7.22,0,0.72
-0.2,0,10.9,0,-0.57
-0.65,0,10.24,1,-0.71
-1.11,0,13.74,1,-2.76
0.85,0,6.3,1,-0.05
0.02,0,8.68,0,0.18
0.83,1,3.7,1,1.13
-1.24,0,14.86,0,1.28
0.17,0,13.25,1,-0.99
0.67,0,8.08,0,-0.12
-0.03,0,9.24,0,-0.26
-0.19,1,9.6,1,1.13
-0.78,0,15.39,1,-3.57
2.06,0,10.12,0,0.44
0.75,1,11.24,0,1.26
1.82,0,12.1,0,2.53
0.08,0,12.07,0,-1.82
-0.63,0,4.99,1,-0.18
-1.51,1,12.22,0,1.38
-0.64,1,7.23,1,0.13
0.23,0,9.9,0,1.15
1.01,0,4.22,0,0.9
0.25,0,10.64,1,-1.49
-1.17,0,6.98,0,-1.88
0.67,0,3.46,1,0.24
-1.65,0,4.98,1,-2.5
-0.37,1,5.74,1,0.26
-0.32,0,11.65,0,-1.05
-1.95,0,10.93,1,-2.22
0.92,0,12.06,1,-1.24
-0.62,0,8.4,0,-0.99
-0.33,0,10.55,1,-0.45
1.4,1,11.23,1,1.19
0.64,0,9.74,0,2.85
-0.11,0,6.68,1,-0.26
0.51,0,13.39,1,-2.99
0.4,0,15,0,-0.57
1.66,0,16.06,0,1.99
0.28,1,12.68,1,-0.76
0.51,1,9.44,0,1.63
0.35,0,9.62,0,1.34
-0.38,0,9.08,1,1.17
0.1,1,9.21,1,0.22
1.64,0,9.85,0,1.25
-0.88,1,4.08,1,-0.28
0.12,0,10.03,0,0.3
1.36,1,10.71,1,1
-0.23,0,7.15,0,1.47
-1.05,0,4.73,0,-0.11
-0.87,0,8.92,0,-1.89
-0.39,0,0.64,1,-0.52
-0.85,0,15.02,0,-2.1
-0.26,0,12.07,1,-0.45
-0.41,1,7.07,1,-1.43
-0.18,0,10.05,1,-1.62
0.41,0,9.5,1,-1.7
0.62,0,5.02,1,1.77
1.68,0,7.36,1,2.42
-0.07,0,12.9,1,-0.76
-0.32,1,6.53,1,-0.79
1.47,0,7.75,1,0.36
1.7,0,7.76,0,1.63
0.04,0,13.68,0,0.33
-0.33,1,9.43,0,-1.12
-1.82,0,11.66,1,-2.83
1.41,0,12.31,1,0.97
-0.84,0,8.86,1,-2.35
-1.12,0,6.61,0,0.04
3.04,0,10.51,1,0.9
0.24,0,8.92,0,0.49
-0.03,0,14.33,0,0.67
-2.73,0,8.44,1,-2.5
-0.1,0,9.07,0,1.57
0.98,1,12.05,0,-0.42
0.41,1,8.01,0,0.89
0.91,0,9.95,0,1.49
1.98,1,11.49,0,1.77
1.17,0,8.79,1,-0.45
-0.51,0,6.37,0,1.63
0.7,0,10.94,0,1.59
-0.2,0,9.16,0,1.01
-0.54,1,3.94,0,-1.25
-2.86,1,10.81,0,-2.31
-0.79,1,10.4,0,-2.28
0.49,1,4.96,0,1
2.17,0,8.42,0,-0.02
0.5,0,9.47,0,-1.45
0.62,0,8.33,0,1.13
-0.97,0,11.66,1,-3.52
0.16,0,5.27,1,-0.28
-2.08,0,7.14,1,-1.52
0.49,0,8.65,1,-0.36
0.7,0,14.33,0,1.35
0.19,0,9.53,0,-0.6
0.7,0,6.93,0,0.2
0.31,0,14.62,0,-0.97
0.76,1,9.31,1,-0.99
1.84,0,11.66,1,0.11
1.11,0,13.37,0,0.52
0.03,0,11.23,0,0.73
-1.11,0,13.9,1,-3.57
0.42,1,7.63,0,0.06
-0.4,0,14.8,0,2.07
1.49,1,4.53,0,1.75
-1.61,0,7.07,0,-0.64
-0.42,0,8.24,0,-1.22
0.42,0,10.7,0,2.41
-0.15,1,8.58,0,1.26
-0.61,0,11.75,1,-0.28
-0.3,0,11.26,0,0.67
0.63,1,12.04,1,-0.34
0.9,0,14.45,1,-1.69
0.66,1,5.72,0,-0.05
2.27,0,12.91,0,2.2
1.17,0,9.2,1,-0.49
0.29,0,7.59,1,0
-0.66,0,4.67,1,-0.2
2.92,0,7.45,0,2.74
0.68,1,9.1,1,0.15
-0.68,0,4.18,1,-0.05
0.19,1,8.92,0,-0.38
-0.32,0,11.53,1,-2.37
-0.27,0,6.11,1,-0.65
-0.93,1,9.99,0,-1.38
0.12,1,5.97,1,0.81
0.32,0,9.84,0,1.87
-1.08,1,12.68,0,-0.67
-3.23,1,3.46,0,-1.7
-0.25,0,16.92,1,-3.3
0.03,1,6.5,1,1.21
0.59,0,12.82,1,-1.08
0.06,0,16.24,1,-4.49
0.41,1,7.17,0,1.06
-1.1,0,7.97,1,-0.67
0.71,0,13.06,1,-0.49
0.72,1,7.55,1,0.71
0.25,0,7.13,1,0.43
1.36,0,14.74,0,1.03
0.4,1,15.3,0,1.57
0.26,0,9.32,1,-1.78
0.27,0,16.84,1,-1.34
0.44,0,15.71,1,-1.25
1.06,0,9.79,1,0.64
0.45,0,7.56,0,0.2
0.66,0,7.98,0,0.95
-1.14,0,14.21,1,-2
-0.37,1,11.62,1,-0.84
1.48,1,11.93,0,0.07
-1.22,0,9.96,0,-0.3
0.26,0,10.55,0,-0.29
0.41,0,8.53,1,-1.62
0.98,0,13.41,0,1.49
-0.35,1,9.02,1,1.11
0.16,0,15.98,1,-1.87
-1.76,1,11.76,1,-1.2
0.34,1,12.96,0,0.13
-0.67,0,14.43,1,-2.54
-0.24,0,9.86,1,0.08
-1.19,1,4.7,1,-0.45
0.38,1,8.17,1,1.04
0.67,0,11.78,0,0.01
-0.3,1,13.61,1,-1.04
1.83,1,10.62,0,3.99
0.67,0,12.52,1,0.13
